artist_name,popularity,genres
Drake,86,hip hop
Taylor Swift,96,pop
Sam Smith,100,pop
Drake,85,hip hop
Drake,85,hip hop
Drake,84,hip hop
David Guetta,97,edm
Manuel Turizo,97,reggaeton
Harry Styles,91,pop
Drake,83,hip hop
Taylor Swift,90,pop
Taylor Swift,92,pop
Bizarrap,97,pop venezolano
Drake,83,hip hop
Drake,83,hip hop
Drake,83,hip hop
Joji,81,viral pop
Chris Brown,95,pop
Taylor Swift,91,pop
Taylor Swift,90,pop
Taylor Swift,89,pop
Drake,82,hip hop
Joji,73,viral pop
Taylor Swift,89,pop
Taylor Swift,88,pop
OneRepublic,95,pop
Oliver Tree,92,alternative hip hop
Steve Lacy,88,afrofuturism
Bad Bunny,96,trap latino
Bad Bunny,95,trap latino
Drake,82,hip hop
Tom Odell,65,pop
Taylor Swift,89,pop
Ozuna,85,reggaeton
Taylor Swift,88,pop
Shakira,90,dance pop
Stephen Sanchez,82,pop
Rihanna,89,pop
Drake,81,hip hop
Beyoncé,93,pop
ROSALÍA,85,r&b en espanol
d4vd,93,bedroom pop
Bad Bunny,94,trap latino
Drake,80,hip hop
Meghan Trainor,87,pop
Rema,92,nigerian pop
The Weeknd,86,canadian pop
Rosa Linn,67,alt z
The Neighbourhood,92,pop
Arctic Monkeys,91,permanent wave
