artist_name,popularity,genres
Official HIGE DANdism,78,anime rock
Kenshi Yonezu,87,j-pop
なとり,80,Unknown
Ado,75,japanese teen pop
Tani Yuuki,74,japanese teen pop
Mrs. GREEN APPLE,76,j-pop
YOASOBI,77,japanese teen pop
Ado,73,japanese teen pop
Saucy Dog,75,j-pop
ヤングスキニー,66,Unknown
BUMP OF CHICKEN,76,j-rock
Tani Yuuki,73,japanese teen pop
ZUTOMAYO,74,j-pop
Official HIGE DANdism,73,anime rock
Fujii Kaze,78,japanese teen pop
Yuuri,72,japanese singer-songwriter
Vaundy,77,japanese soul
Novelbright,71,j-rock
Ado,73,japanese teen pop
yama,74,japanese teen pop
Ado,72,japanese teen pop
Macaroni Empitsu,71,japanese alternative rock
back number,73,j-rock
Saucy Dog,70,j-pop
LE SSERAFIM,85,Unknown
back number,67,j-rock
Yuuri,70,japanese singer-songwriter
wacci,73,j-division
Fujii Kaze,73,japanese teen pop
Official HIGE DANdism,71,anime rock
マキシマム ザ ホルモン 一部のアニメテーマ専用仮設チャンネル,66,Unknown
SEKAI NO OWARI,73,j-pop
Fujii Kaze,72,japanese teen pop
King Gnu,72,j-pop
IVE,86,k-pop girl group
Mrs. GREEN APPLE,71,j-pop
Yuuri,70,japanese singer-songwriter
YOASOBI,73,japanese teen pop
back number,72,j-rock
TWICE,72,k-pop girl group
BTS,84,k-pop boy group
Ryokuoushoku Shakai,71,j-pop
Kyanai,70,j-pop
Charlie Puth,80,pop
Ado,72,japanese teen pop
King Gnu,72,j-pop
Ado,72,japanese teen pop
NAYEON,71,Unknown
BTS,81,k-pop boy group
Vaundy,70,japanese soul
