artist,album,track_name,track_id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Taylor Swift,...Ready For It?,...Ready For It?,7zgqtptZvhf8GEmdsM2vp2,2017,0,0.615,0.779,2,-6.454,1,0.135,0,0.155,0.453,160.0,208198,4
Thomas Rhett,Life Changes,Life Changes,4Vxu50qVrQcycjRyJQaZLC,2017,62,0.687,0.845,7,-4.37,1,0.0576,0,0.0452,0.809,87.972,190227,4
Bruno Mars,24K Magic,24K Magic,6b8Be6ljOzmkOmFslEb23P,2016,79,0.818,0.803,1,-4.282,1,0.0797,0,0.153,0.632,106.97,225983,4
Ed Sheeran,÷ (Deluxe),Galway Girl,0afhq8XCExXpqazXczTSve,2017,78,0.624,0.876,9,-3.374,1,0.1,0,0.327,0.781,99.943,170827,4
Ed Sheeran,x (Deluxe Edition),Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,2014,84,0.614,0.379,4,-10.48,1,0.0476,0.000464,0.0986,0.201,107.989,258987,4
Camila Cabello,Havana (feat. Young Thug),Havana (feat. Young Thug),0ofbQMrRDsUaVKq2mGLEAb,2017,1,0.768,0.517,7,-4.323,0,0.0312,3.8e-05,0.104,0.418,104.992,216897,4
Bruno Mars,Unorthodox Jukebox,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,2012,86,0.612,0.28,0,-8.648,1,0.0434,0,0.088,0.387,72.795,213827,4
Bill Conti,Rocky III: Music From The Motion Picture,Gonna Fly Now,6C2PfemHQul77DVpnvuAIs,1982,54,0.415,0.538,9,-12.71,0,0.0368,0.767,0.0674,0.449,95.121,170240,4
Maroon 5,Red Pill Blues (Deluxe),Don't Wanna Know (feat. Kendrick Lamar),3PGdPUMdUg7a3Tgr5gkfKK,2017,0,0.776,0.62,7,-6.198,1,0.067,0,0.0978,0.427,100.025,214265,4
Ed Sheeran,x (Deluxe Edition),Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,2014,83,0.781,0.445,2,-6.061,1,0.0295,0,0.184,0.591,78.998,281560,4
Neon Trees,Picture Show (Deluxe Edition),Everybody Talks,3528IXKpbb7OMjdjWYlbfD,2012,51,0.471,0.924,8,-3.906,1,0.0586,0,0.313,0.725,154.961,177280,4
Taylor Swift,Red,We Are Never Ever Getting Back Together,7AEAGTc8cReDqcbPoY9gwo,2012,60,0.628,0.676,7,-5.911,1,0.0916,2.65e-05,0.102,0.75,85.984,191880,4
Taylor Swift,1989,Bad Blood,273dCMFseLcVsoSWx59IoE,2014,67,0.65,0.802,7,-6.114,1,0.181,6.54e-06,0.148,0.295,170.146,211933,4
The Script,#3,Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,2012,68,0.421,0.873,10,-4.343,1,0.0564,0,0.123,0.629,84.786,202533,4
Maroon 5,Overexposed,Payphone,1LmN9SSHISbtp9LoaR5ZVJ,2021,71,0.739,0.756,4,-4.828,1,0.0394,0,0.37,0.523,110.028,231387,4
Maroon 5,V,Sugar,2iuZJX9X9P0GKaE93xcPjk,2014,80,0.748,0.788,1,-7.055,1,0.0334,0,0.0863,0.884,120.076,235493,4
Sugarland,The Incredible Machine,Stuck Like Glue,0JcKdUGNR7zI4jJDLyYXbi,2010,65,0.702,0.795,1,-4.764,1,0.0568,0,0.0505,0.836,83.961,247587,4
Bruno Mars,24K Magic,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,2016,83,0.853,0.56,1,-4.961,1,0.0406,0,0.0944,0.86,134.066,206693,4
One Direction,FOUR (Deluxe),Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,2014,79,0.536,0.768,10,-5.948,0,0.0347,0,0.114,0.545,77.217,228133,4
DJ Khaled,I'm the One,I'm the One,72Q0FQQo32KJloivv5xge2,2017,0,0.599,0.667,7,-4.267,1,0.0367,0,0.134,0.817,80.984,288877,4
