artist_name,popularity,genres
Drake,86,hip hop
Drake,85,hip hop
Drake,85,hip hop
Taylor Swift,96,pop
Drake,84,hip hop
Drake,83,hip hop
Drake,83,hip hop
Drake,83,hip hop
Drake,83,hip hop
Drake,82,hip hop
Taylor Swift,90,pop
Taylor Swift,92,pop
Drake,82,hip hop
Steve Lacy,88,afrofuturism
Taylor Swift,90,pop
Taylor Swift,89,pop
Sam Smith,100,pop
Taylor Swift,89,pop
Joji,81,viral pop
Taylor Swift,88,pop
Drake,81,hip hop
Taylor Swift,91,pop
Drake,80,hip hop
Drake,79,hip hop
Drake,80,hip hop
Taylor Swift,89,pop
Taylor Swift,88,pop
Lil Uzi Vert,85,rap
d4vd,93,bedroom pop
Taylor Swift,86,pop
SZA,86,r&b
Drake,90,hip hop
Joji,73,viral pop
JVKE,86,pop
Taylor Swift,86,pop
Zach Bryan,88,oklahoma country
Drake,78,hip hop
Taylor Swift,86,pop
Harry Styles,91,pop
The Weeknd,86,canadian pop
21 Savage,78,rap
Taylor Swift,71,pop
Bad Bunny,95,trap latino
Steve Lacy,86,afrofuturism
The Neighbourhood,92,pop
Bad Bunny,96,trap latino
Taylor Swift,68,pop
David Guetta,97,edm
Future,88,rap
Taylor Swift,68,pop
